Año,Entidad,Ley,Concepto,Tipo,Total
2012,Puebla,Codigo penal federal,Contra la salud,Produccion,1.0
2012,Puebla,Codigo penal federal,Contra la salud,Transporte,9.0
2012,Puebla,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Puebla,Codigo penal federal,Contra la salud,Comercio,21.0
2012,Puebla,Codigo penal federal,Contra la salud,Suministro,1.0
2012,Puebla,Codigo penal federal,Contra la salud,Posesion,184.0
2012,Puebla,Codigo penal federal,Contra la salud,Otros,18.0
2012,Puebla,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,45.0
2012,Puebla,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,43.0
2012,Puebla,Codigo penal federal,Otros delitos,Contra la integridad corporal,7.0
2012,Puebla,Codigo penal federal,Otros delitos,Electorales,143.0
2012,Puebla,Codigo penal federal,Otros delitos,En materia de derechos de autor,10.0
2012,Puebla,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",72.0
2012,Puebla,Codigo penal federal,Otros delitos,Patrimoniales,427.0
2012,Puebla,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,14.0
2012,Puebla,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,172.0
2012,Querétaro,Codigo penal federal,Contra la salud,Produccion,3.0
2012,Querétaro,Codigo penal federal,Contra la salud,Transporte,9.0
2012,Querétaro,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Querétaro,Codigo penal federal,Contra la salud,Comercio,6.0
2012,Querétaro,Codigo penal federal,Contra la salud,Suministro,1.0
2012,Querétaro,Codigo penal federal,Contra la salud,Posesion,27.0
2012,Querétaro,Codigo penal federal,Contra la salud,Otros,27.0
2012,Querétaro,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,53.0
2012,Querétaro,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,27.0
2012,Querétaro,Codigo penal federal,Otros delitos,Contra la integridad corporal,3.0
2012,Querétaro,Codigo penal federal,Otros delitos,Electorales,14.0
2012,Querétaro,Codigo penal federal,Otros delitos,En materia de derechos de autor,7.0
2012,Querétaro,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",80.0
2012,Querétaro,Codigo penal federal,Otros delitos,Patrimoniales,216.0
2012,Querétaro,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,5.0
2012,Querétaro,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,85.0
2012,Quintana Roo,Codigo penal federal,Contra la salud,Produccion,0.0
2012,Quintana Roo,Codigo penal federal,Contra la salud,Transporte,2.0
2012,Quintana Roo,Codigo penal federal,Contra la salud,Trafico,7.0
2012,Quintana Roo,Codigo penal federal,Contra la salud,Comercio,50.0
